regularization,noise_std,actual_duration_s,stopped_early,finite_trajectory,initial_distance_median,minimum_distance_median,minimum_distance_time_s,distance_1s_median,final_distance_median,final_distance_max,final_angular_drift_median_deg,max_abs_state
5e-05,0.2,30.0,False,True,0.20311437556584155,0.010796883283405759,10.0,0.02457931344977777,0.012416518811047585,72571.7699715564,0.5684813528694634,1077488.25
5e-05,0.5,26.246000000000002,True,True,0.5077859437700569,0.010881667790316955,26.246000000000002,0.05953410171861817,0.010881667790316955,67414062439.08498,0.6373581067408411,1000932507648.0
5e-05,1.0,24.015,True,True,1.015571882967835,0.011919575460675791,20.0,0.12486517161682256,0.012865228974548143,67383648476.30663,1.6995719163611727,1000480899072.0
7e-05,0.05,30.0,False,True,0.05077859553606524,0.009516215098753921,0.5,0.009559531155788307,0.011694008419942349,0.0730600751358268,0.3651720781328418,11.191365242004395
7e-05,0.1,30.0,False,True,0.10155718755394207,0.011256572661365786,2.0,0.012701218612872218,0.011692334443475016,0.07117756126308818,0.3814710856385864,11.193038940429688
7e-05,0.2,30.0,False,True,0.20311437556584155,0.011509260573773297,5.0,0.02158842135232053,0.011708238909158678,0.06525002992870993,0.41829422582398934,11.19567584991455
7e-05,0.5,30.0,False,True,0.5077859437700569,0.011505849250138814,10.0,0.05212471951208364,0.011865412680182423,0.04548439021985866,0.6077415920123566,11.522808074951172
7e-05,1.0,30.0,False,True,1.015571882967835,0.011702049424286896,30.0,0.1096633529106154,0.011702049424286896,3374.9250001549517,0.5395386830056674,39490.0546875
0.0001,0.05,30.0,False,True,0.05077859553606524,0.00947034779293617,0.5,0.010074456304069015,0.012700188332624313,0.04040573493816081,0.35342758466777446,11.22124195098877
0.0001,0.1,30.0,False,True,0.10155718755394207,0.011700390463551882,2.0,0.012501125105529061,0.012683720940676827,0.03973314823113061,0.3719139752154417,11.223320960998535
0.0001,0.2,30.0,False,True,0.20311437556584155,0.012465374137889312,5.0,0.019803432352127427,0.012703789513673859,0.03740699111518708,0.409175300249759,11.226855278015137
0.0001,0.5,30.0,False,True,0.5077859437700569,0.012964820686088339,20.0,0.04578396731767884,0.013058045004551945,0.030725957213649197,0.5358798780102938,11.522808074951172
0.0001,1.0,30.0,False,True,1.015571882967835,0.01373640957665714,10.0,0.0960469864171804,0.013953459758437972,0.022471226831967037,0.5012849574258949,12.381677627563477
0.0003,0.05,30.0,False,True,0.05077859553606524,0.010142609496258849,0.2,0.013415818604358948,0.020511722721015348,0.031045551199299953,0.3569263113932035,11.361899375915527
0.0003,0.1,30.0,False,True,0.10155718755394207,0.013374327061613563,1.0,0.013374327061613563,0.020357565046710865,0.031067269147266766,0.3899896772282512,11.363460540771484
0.0003,0.2,30.0,False,True,0.20311437556584155,0.015668942649246155,2.0,0.017098232144878697,0.020226841257456038,0.031113762346790898,0.37830948044440904,11.366350173950195
0.0003,0.5,30.0,False,True,0.5077859437700569,0.02065967546592086,5.0,0.03386469316738916,0.020829815733167587,0.03127998045051956,0.3523164328953428,11.522808074951172
0.0003,1.0,30.0,False,True,1.015571882967835,0.02099322948118886,20.0,0.06422820976143516,0.0214790303830823,0.03165797375293228,0.7180499450028686,12.381677627563477
0.001,0.05,30.0,False,True,0.05077859553606524,0.011954607130474793,0.1,0.02221843104457623,0.03347581887006876,0.03922579179428997,0.5471462780192464,11.54794979095459
0.001,0.1,30.0,False,True,0.10155718755394207,0.015214657698408768,0.2,0.021649305825307302,0.033477250282864336,0.039227194790495364,0.5436297390718533,11.54899787902832
0.001,0.2,30.0,False,True,0.20311437556584155,0.020112784768199568,0.5,0.020881940084231596,0.03348111834009,0.039231918932563455,0.5660850177072065,11.55107593536377
0.001,0.5,30.0,False,True,0.5077859437700569,0.027593865921724275,2.0,0.027606654255119937,0.03357750045333581,0.039276026332589094,0.6727546142159992,11.557230949401855
0.001,1.0,30.0,False,True,1.015571882967835,0.029683562194259876,2.0,0.04528596538090392,0.03440415986942408,0.03923816473570965,0.8382899933230066,12.381677627563477
